title,value,category,description,recorded_at
生產線A-爐溫,78.42,temperature,早班第一次量測,2026-08-01 08:00:00
生產線A-爐溫,82.15,temperature,早班第二次量測,2026-08-01 10:00:00
生產線A-爐溫,91.30,temperature,超過上限閾值,2026-08-01 12:00:00
生產線B-爐溫,65.80,temperature,中班量測,2026-08-01 14:00:00
生產線B-爐溫,58.27,temperature,中班量測,2026-08-01 16:00:00
無塵室濕度,45.60,humidity,空調正常,2026-08-01 08:30:00
無塵室濕度,52.34,humidity,空調正常,2026-08-01 11:30:00
無塵室濕度,8.90,humidity,低於下限閾值,2026-08-01 15:30:00
無塵室濕度,49.12,humidity,回復正常,2026-08-01 18:30:00
氣壓管路壓力,60.05,pressure,例行巡檢,2026-08-02 09:00:00
氣壓管路壓力,63.77,pressure,例行巡檢,2026-08-02 13:00:00
氣壓管路壓力,71.20,pressure,壓力偏高需注意,2026-08-02 17:00:00
主軸振動值,12.48,vibration,加工中量測,2026-08-02 09:20:00
主軸振動值,35.61,vibration,加工中量測,2026-08-02 12:20:00
主軸振動值,93.05,vibration,異常震動已通報,2026-08-02 15:20:00
主軸振動值,28.90,vibration,更換軸承後量測,2026-08-02 19:20:00
廠區用電量,120.55,power,尖峰時段,2026-08-03 10:00:00
廠區用電量,86.30,power,離峰時段,2026-08-03 22:00:00
廠區用電量,64.18,power,假日待機,2026-08-04 03:00:00
廠區用電量,99.72,power,產線滿載,2026-08-04 11:00:00
冷卻水溫度,25.36,temperature,冷卻塔出水,2026-08-05 08:10:00
冷卻水溫度,31.84,temperature,冷卻塔回水,2026-08-05 14:10:00
空壓機壓力,55.42,pressure,啟動後量測,2026-08-05 08:40:00
空壓機壓力,48.19,pressure,穩定運轉,2026-08-05 16:40:00
倉儲區濕度,61.05,humidity,梅雨季偏高,2026-08-06 09:00:00
